model_date,timestamp,cycle,state,created_at,start_date,end_date,election_date,pollster_rating_name,pollster_rating_id,poll_id,question_id,url,partisan,tracking,sample_size,methodology,population,party,candidate_name,pct,raw_sample_size,days_til_election,candidates_tested,poll_sample_size_weight,med_date,number_options,tested_third_party,excludesthirdparty,undecided,numeric_grade,pollster_wt,has_pollster_rating,n_polls_pollster_per_date,number_polls_in_window,frequency_weight,n_states_polled_per_date,number_states_polled_in_window,geo_volume_weight,combined_frequency_weight,cumulative_poll_wt,methodology_simple,response_num,response_cat,state_num,state_abb,region_computed,region_census_big,region_census_small,region,region_num,response,pollster,pollster_coded,state_pollster,state_pollster_coded,mode,mode_coded,day_of_timeline,major_candidate_still_running
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-23,2024-07-22,2024-07-23,2024-11-05,Ipsos,154,87530,203951,https://www.reuters.com/world/us/harris-leads-trump-44-42-us-presidential-race-reutersipsos-poll-finds-2024-07-23/,,,1018.0,Probability Panel,rv,REP,Donald Trump,38.0,1018.0,105,Donald Trump Kamala Harris Robert F. Kennedy,1.0089598604503551,2024-07-22,3,1,0,20.0,2.8,1.2833778958394957,True,1,2,0.778995895790124,,,1.0,0.778995895790124,0.9997461136067324,Online Prob Panel,2,REP,57,,,,,,,38.0,154,23,NA154,121,Online Prob Panel,7,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-23,2024-07-22,2024-07-22,2024-11-05,Marist College,183,87531,203980,https://maristpoll.marist.edu/polls/election-2024-whats-next/,,,1117.0,Online Panel,rv,REP,Donald Trump,42.0,1117.0,106,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1.056882207249228,2024-07-22,6,1,0,16.0,2.9,1.3060943124220303,True,1,2,0.778995895790124,,,1.0,0.778995895790124,1.0174421088915857,Online Non-Prob Panel,2,REP,57,,,,,,,42.0,183,27,NA183,122,Online Non-Prob Panel,6,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-23,2024-07-22,2024-07-22,2024-11-05,Marist College,183,87531,203980,https://maristpoll.marist.edu/polls/election-2024-whats-next/,,,1117.0,Online Panel,rv,DEM,Kamala Harris,42.0,1117.0,106,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1.056882207249228,2024-07-22,6,1,0,16.0,2.9,1.3060943124220303,True,1,2,0.778995895790124,,,1.0,0.778995895790124,1.0174421088915857,Online Non-Prob Panel,1,DEM,57,,,,,,,42.0,183,27,NA183,122,Online Non-Prob Panel,6,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-23,2024-07-22,2024-07-23,2024-11-05,Ipsos,154,87530,203951,https://www.reuters.com/world/us/harris-leads-trump-44-42-us-presidential-race-reutersipsos-poll-finds-2024-07-23/,,,1018.0,Probability Panel,rv,DEM,Kamala Harris,42.0,1018.0,105,Donald Trump Kamala Harris Robert F. Kennedy,1.0089598604503551,2024-07-22,3,1,0,20.0,2.8,1.2833778958394957,True,1,2,0.778995895790124,,,1.0,0.778995895790124,0.9997461136067324,Online Prob Panel,1,DEM,57,,,,,,,42.0,154,23,NA154,121,Online Prob Panel,7,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,Georgia,2024-07-24,2024-07-22,2024-07-22,2024-11-05,Landmark Communications,166,87534,204026,https://landmarkcommunications.net/statewide-presidential-poll-of-georgia-july-22-2024/,,,400.0,,lv,REP,Donald Trump,45.8,400.0,106,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,0.6324555320336759,2024-07-22,6,1,0,9.900000000000006,2.1,1.1114378604524229,True,1,1,1.0,1.0,1.0,0.882,1.0,1.1114378604524229,Other,2,REP,11,GA,Southeast,South,South Atlantic,Southeast,9.0,45.8,166,26,GA166,41,Other,8,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,Georgia,2024-07-24,2024-07-22,2024-07-22,2024-11-05,Landmark Communications,166,87534,204026,https://landmarkcommunications.net/statewide-presidential-poll-of-georgia-july-22-2024/,,,400.0,,lv,DEM,Kamala Harris,44.3,400.0,106,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,0.6324555320336759,2024-07-22,6,1,0,9.900000000000006,2.1,1.1114378604524229,True,1,1,1.0,1.0,1.0,0.882,1.0,1.1114378604524229,Other,1,DEM,11,GA,Southeast,South,South Atlantic,Southeast,9.0,44.3,166,26,GA166,41,Other,8,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-24,2024-07-22,2024-07-23,2024-11-05,RMG Research,555,87539,204123,https://x.com/RMG_Research/status/1816138526133453244,,,1500.0,Online Panel,rv,REP,Donald Trump,48.0,2000.0,105,Donald Trump Kamala Harris Robert F. Kennedy,1.4142135623730951,2024-07-22,3,1,0,6.0,2.3,1.1631599960755994,True,1,1,1.0,,,1.0,1.0,1.1631599960755994,Online Non-Prob Panel,2,REP,57,,,,,,,48.0,555,72,NA555,142,Online Non-Prob Panel,6,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-24,2024-07-22,2024-07-23,2024-11-05,RMG Research,555,87539,204123,https://x.com/RMG_Research/status/1816138526133453244,,,1500.0,Online Panel,rv,DEM,Kamala Harris,46.0,2000.0,105,Donald Trump Kamala Harris Robert F. Kennedy,1.4142135623730951,2024-07-22,3,1,0,6.0,2.3,1.1631599960755994,True,1,1,1.0,,,1.0,1.0,1.1631599960755994,Online Non-Prob Panel,1,DEM,57,,,,,,,46.0,555,72,NA555,142,Online Non-Prob Panel,6,1,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-25,2024-07-22,2024-07-24,2024-11-05,The New York Times/Siena College,448,87557,204206,https://www.nytimes.com/2024/07/25/us/politics/poll-kamala-harris-donald-trump.html,,,1142.0,Live Phone,lv,DEM,Kamala Harris,44.0,1142.0,104,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1.0686440005914035,2024-07-23,6,1,0,13.0,3.0,1.3284223283101428,True,1,1,1.0,0.0,2.0,0.8643599999999999,1.0,1.3284223283101428,Live Phone,1,DEM,57,,,,,,,44.0,448,64,NA448,136,Live Phone,4,2,1
2024-09-18,2024-09-18T17:02:41Z,2024,National,2024-07-25,2024-07-22,2024-07-24,2024-11-05,The New York Times/Siena College,448,87557,204206,https://www.nytimes.com/2024/07/25/us/politics/poll-kamala-harris-donald-trump.html,,,1142.0,Live Phone,lv,REP,Donald Trump,43.0,1142.0,104,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1.0686440005914035,2024-07-23,6,1,0,13.0,3.0,1.3284223283101428,True,1,1,1.0,0.0,2.0,0.8643599999999999,1.0,1.3284223283101428,Live Phone,2,REP,57,,,,,,,43.0,448,64,NA448,136,Live Phone,4,2,1
